AplicacionID,ClaveAplicacion,NumLinea,Referencia,ObjetoBDID,Objeto,TipoObjetoID,TipoObjeto,BaseDatosID,BaseDatos,Archivo,Extension,BibPadre,ObjPadre
"0","5","1840","MsgBox No esta definida la relacion de efectividad en  & PrefijoBD & TablaPosPrimarias","2532","RELACION","1","USER_TABLE","3","PRES2019","C:\Users\monica.moreno\Documents\Codigo_base\HerramientaAD-master\DependenciaMVC5demo\codigoUnzip\10216-1-5_26082019125152\1. 2019-03-26_SIVARMER Producci¢n\Sistema SIVARMER Produccion\frmcalvar.frm","FRM","frmcalvar","frmcalvar"
"0","5","1840","MsgBox No esta definida la relacion de efectividad en  & PrefijoBD & TablaPosPrimarias","2797","ESTA","2","SQL_STORED_PROCEDURE","3","PRES2019","C:\Users\monica.moreno\Documents\Codigo_base\HerramientaAD-master\DependenciaMVC5demo\codigoUnzip\10216-1-5_26082019125152\1. 2019-03-26_SIVARMER Producci¢n\Sistema SIVARMER Produccion\frmcalvar.frm","FRM","frmcalvar","frmcalvar"
"0","5","2078","txtfecha = InputBox(Dame la fecha del reporte, , Date)","348","REPORTE","1","USER_TABLE","1","COFINI","C:\Users\monica.moreno\Documents\Codigo_base\HerramientaAD-master\DependenciaMVC5demo\codigoUnzip\10216-1-5_26082019125152\1. 2019-03-26_SIVARMER Producci¢n\Sistema SIVARMER Produccion\frmcalvar.frm","FRM","frmcalvar","frmcalvar"
"0","5","2151","For j = 1 To noregpos  'se encuentran los saldos de la parte pasiva","2524","SALDOS","1","USER_TABLE","3","PRES2019","C:\Users\monica.moreno\Documents\Codigo_base\HerramientaAD-master\DependenciaMVC5demo\codigoUnzip\10216-1-5_26082019125152\1. 2019-03-26_SIVARMER Producci¢n\Sistema SIVARMER Produccion\frmcalvar.frm","FRM","frmcalvar","frmcalvar"
"0","5","2308","resp = MsgBox(Advertencia, esta accion restablecera todos los procesos de consolidaci�n de datos. �Desea continuar?!, vbYesNo)","2797","ESTA","2","SQL_STORED_PROCEDURE","3","PRES2019","C:\Users\monica.moreno\Documents\Codigo_base\HerramientaAD-master\DependenciaMVC5demo\codigoUnzip\10216-1-5_26082019125152\1. 2019-03-26_SIVARMER Producci¢n\Sistema SIVARMER Produccion\frmcalvar.frm","FRM","frmcalvar","frmcalvar"
"0","5","2512","Dim mes As Integer","2660","MES","1","USER_TABLE","3","PRES2019","C:\Users\monica.moreno\Documents\Codigo_base\HerramientaAD-master\DependenciaMVC5demo\codigoUnzip\10216-1-5_26082019125152\1. 2019-03-26_SIVARMER Producci¢n\Sistema SIVARMER Produccion\frmcalvar.frm","FRM","frmcalvar","frmcalvar"
"0","5","2526","mes = Format(fecha, mm)","2660","MES","1","USER_TABLE","3","PRES2019","C:\Users\monica.moreno\Documents\Codigo_base\HerramientaAD-master\DependenciaMVC5demo\codigoUnzip\10216-1-5_26082019125152\1. 2019-03-26_SIVARMER Producci¢n\Sistema SIVARMER Produccion\frmcalvar.frm","FRM","frmcalvar","frmcalvar"
"0","5","73","Caption         =   Correspodiente al mes de","2660","MES","1","USER_TABLE","3","PRES2019","C:\Users\monica.moreno\Documents\Codigo_base\HerramientaAD-master\DependenciaMVC5demo\codigoUnzip\10216-1-5_26082019125152\1. 2019-03-26_SIVARMER Producci¢n\Sistema SIVARMER Produccion\frmCapitalN.frm","FRM","frmCapitalN","frmCapitalN"
"0","5","4","Caption         =   Carga de factores de riesgo","2764","CARGA","1","USER_TABLE","3","PRES2019","C:\Users\monica.moreno\Documents\Codigo_base\HerramientaAD-master\DependenciaMVC5demo\codigoUnzip\10216-1-5_26082019125152\1. 2019-03-26_SIVARMER Producci¢n\Sistema SIVARMER Produccion\frmCargaFR.frm","FRM","frmCargaFR","frmCargaFR"
"0","5","7","Caption         =   Carga de posiciones primarias","2764","CARGA","1","USER_TABLE","3","PRES2019","C:\Users\monica.moreno\Documents\Codigo_base\HerramientaAD-master\DependenciaMVC5demo\codigoUnzip\10216-1-5_26082019125152\1. 2019-03-26_SIVARMER Producci¢n\Sistema SIVARMER Produccion\frmCargaPosP.Frm","FRM","frmCargaPosP","frmCargaPosP"
"0","5","55","Caption         =   Parametros sistema","2163","PARAMETROS","1","USER_TABLE","2","PYC2019","C:\Users\monica.moreno\Documents\Codigo_base\HerramientaAD-master\DependenciaMVC5demo\codigoUnzip\10216-1-5_26082019125152\1. 2019-03-26_SIVARMER Producci¢n\Sistema SIVARMER Produccion\frmCatalogos.frm","FRM","frmCatalogos","frmCatalogos"
"0","5","55","Caption         =   Parametros sistema","2602","PARAMETROS","1","USER_TABLE","3","PRES2019","C:\Users\monica.moreno\Documents\Codigo_base\HerramientaAD-master\DependenciaMVC5demo\codigoUnzip\10216-1-5_26082019125152\1. 2019-03-26_SIVARMER Producci¢n\Sistema SIVARMER Produccion\frmCatalogos.frm","FRM","frmCatalogos","frmCatalogos"
"0","5","118","Caption         =   Obtener resultados","349","RESULTADOS","1","USER_TABLE","1","COFINI","C:\Users\monica.moreno\Documents\Codigo_base\HerramientaAD-master\DependenciaMVC5demo\codigoUnzip\10216-1-5_26082019125152\1. 2019-03-26_SIVARMER Producci¢n\Sistema SIVARMER Produccion\frmCMW.frm","FRM","frmCMW","frmCMW"
"0","5","64","Caption         =   Exportar resultados a archivo de texto","349","RESULTADOS","1","USER_TABLE","1","COFINI","C:\Users\monica.moreno\Documents\Codigo_base\HerramientaAD-master\DependenciaMVC5demo\codigoUnzip\10216-1-5_26082019125152\1. 2019-03-26_SIVARMER Producci¢n\Sistema SIVARMER Produccion\frmDesglosePos.frm","FRM","frmDesglosePos","frmDesglosePos"
"0","5","80","Estado de la cuenta:  & estadoCuenta & vbCrLf & _","2821","CUENTA","3","SEQUENCE","3","PRES2019","C:\Users\monica.moreno\Documents\Codigo_base\HerramientaAD-master\DependenciaMVC5demo\codigoUnzip\10216-1-5_26082019125152\1. 2019-03-26_SIVARMER Producci¢n\Sistema SIVARMER Produccion\frmDirAct.frm","FRM","frmDirAct","frmDirAct"
